doc_id,doc_type,question,answer,evidence_pages,evidence_sources,answer_format
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,"Regarding the global iOS breakdown, what percentage of the pie chart was iOS 9?",51%,[7],['Chart'],Float
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,"Between Java and WP, how large is the difference in percentage of their global developers mindshare?",17.5,[9],['Chart'],Float
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,"In 2014, which one has more mobile apps globally, Apple App store or Google Play store? How many Apps does it have in million?","['Google Play store', '1.3']",[10],['Chart'],List
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,"Which APP on APPOTA platform is top 10 Vietnam Android App, but not top 10 Vietnam iOS App?",UC Browser Tiếng Việt,"[29, 30]","['Generalized-text (Layout)', 'Figure']",Str
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,Which APP on APPOTA platform ranks 15th as Vietnam Android App?,Not answerable,[],[],None
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,"In Q3 2015, what is the approximate range of cost in 1 day (dollar) of a mobile incentive platform in Vietnam for installing? Answer with a list of two number for boundary, for example [3000, 4000]","[1500, 8000]","[26, 27]","['Generalized-text (Layout)', 'Figure']",List
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,"As of Q3 2015, are there more active Instagram users in Vietnam, or are there more fans for Appota's fan page? Directly answer 'Instagram' or 'Appota'.",Appota,"[28, 33]","['Generalized-text (Layout)', 'Figure']",Str
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,"As of Q3 2015, is vietnam's adoption rate of iOS 9 higher or lower than a global average rate? What is the difference in percentage?","['lower', '38']","[7, 15]",['Chart'],List
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,"As of Q3 2015, is vietnam's adoption rate of iOS 7 higher or lower than a global average rate? What is the difference in percentage?",Not answerable,[],[],None
reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,Which news appear in both Vietnam mobile news and APPOTA news?,Bluebird Award,"[13, 31]","['Generalized-text (Layout)', 'Figure']",Str
05-03-18-political-release.pdf,Research report / Introduction,"Among the adults conducted the survey on April 25 - May 1 2018, how many adults rated Trump's government ethical standards as poor? ",541,"[3, 4]","['Pure-text (Plain-text)', 'Chart']",Int
05-03-18-political-release.pdf,Research report / Introduction,"Among the adults conducted the survey on April 25 - May 1 2022, how many adults rated Trump's government ethical standards as poor? ",Not answerable,[],[],None
05-03-18-political-release.pdf,Research report / Introduction,"According to the survey on April 25 - May 1, 2018, what are the domains with the highest percentage that adults are very confident and not at all confident of Donald Trump's govenment? Please write the answer in the list format and with alphabetical order, e.g., [""A"",""B""]","['Make good decisions about economic policy ', 'Make wise decisions about immigration policy ']",[5],['Chart'],List
